Airport	UKAB no	Date	Time	Latitude	Longitude	Altitude	Risk Class	ACclass1	ACtype1	Airspace	ATC type1	ACclass2	ACtype2	Airspace2	ATC type2	Vsep(measured)	Hsep(measured)	Vsep1	Hsep1	Vsep2	Hsep2	Precis	Description

Barton	1997001	1997-01-05	1225	53.46667	-0.35194	01250	C	CIVG	ASK 21 GLIDER	AERODROME TRAFFIC ZONES - (ATZ)	NOT UNDER CONTROL	CIVP	CHEROKEE / WARRIOR / ARROW	AERODROME TRAFFIC ZONES - (ATZ)	LISTENING OUT WITH ..... (CIVIL)			0000	0274	0200	0600	UK Airprox(P) : PA28 and military a/c. Subject of JAS investigation.	Nil
Barton	1997004	1997-01-06	0917	5321N	00216W	00300	C	CATP	SAAB 2000	D - CONTROL ZONES AND AREAS (NON RULE 21)	AERODROME (CIVIL)	CATP	TRI-STAR	D - CONTROL ZONES AND AREAS (NON RULE 21)	AERODROME (CIVIL)			0000	0300	0500	0060	UK Airprox(P) : SAAB 2000 and L1011. Subject of JAS investigation.	Nil
Barton	1997086	1997-07-06	1205	5321N	00231W	01200	C	CIVP	CESSNA 150	D - CONTROL ZONES AND AREAS (NON RULE 21)	FIR / FIS (CIVIL)	CIVP	QUEEN AIR 65/A65/70	D - CONTROL ZONES AND AREAS (NON RULE 21)	LISTENING OUT WITH ..... (CIVIL)			0000	0050	0160	0300	UK Airprox(P) : BE70 and Cessna 150. Subject of JAS investigation.	Nil
Barton	2000149	2000-09-16	0716	5321N	00216W	00200	B	CATP	"""JUMBO"" JET B747"	D - CONTROL ZONES AND AREAS (NON RULE 21)	AERODROME (CIVIL)	CATQ	ONE-ELEVEN	D - CONTROL ZONES AND AREAS (NON RULE 21)	AERODROME (CIVIL)			XXXX	0480	XXXX	0480	UK AIRPROX 149/00 - B747 and a BAC1-11 at Manchester airport.	"The BAC 1-11 was instructed to line up on R/W24R at Manchester, behind a landing A320.  Shortly afterwards, a B747 reported on final approach for R/W24R, and advised that the a/c was very heavy and would require the full length of the R/W.  After landing, the A320 was slow to vacate the R/W, and by the time it had vacated and the BAC1-11 was cleared for take off, the B747 was approx 1.5 nm from touchdown.  The BAC1-11 began its take off when the B747 was at 0.5 nm.  The B747 pilot reported visual with the traffic and was cleared to land after the departing traffic.  However, the B747 pilot elected to carry out a go-around and to make a right turn.  Subsequently the controller instructed the B747 to turn onto 330 deg and climb to 3500 ft., whilst the BAC1-11 continued on its outbound routing involving a left turn after departure.  The closest point between the B747 and the BAC1-11 was when the BAC1-11 was still rolling down the R/W and the B747 had commenced its right turn, a distance of approx 480 m.  The incident was subject to assessment by UKAB, and to a Field Investigation by the AAIB.  See AAIB Bulletin No 6/2001, Ref EW/C2000/9/5. CAA Closure: Appropriate ATC personnel action taken."
Barton	2001053	2001-04-23	0651	5320N	00218W	01200	B	CATP	DHC-8 (DASH 8)	D - CONTROL ZONES AND AREAS (NON RULE 21)	AERODROME (CIVIL)	CATP	"EMB-135,145"	D - CONTROL ZONES AND AREAS (NON RULE 21)	AERODROME (CIVIL)			0550	0400	0400	1242	UK AIRPROX- 53/2001 - DHC8 and EMB145 near Manchester at 700ft.	CAA Closure: ATC error. A breakdown in co-ordination between 2 controllers resulted in the EMB145 bring cleared for take off from 24R followed 20 seconds later by the DHC8 being cleared for take off from 24L. Appropriate ATC remedial action has been taken. This AIRPROX is now subject to a separate review by the UKAB.
Barton	2005093	2005-06-19	0911	5327N	00223W	00020	C	CIVT	IKARUS C42 MICROLIGHT	AERODROME TRAFFIC ZONES - (ATZ)	AFIS (CIVIL)	CIVP	CHEROKEE / WARRIOR / ARROW	AERODROME TRAFFIC ZONES - (ATZ)	AFIS (CIVIL)	XXXX	XXXX	0150	0100	0050	XXXX	UK AIRPROX 93/2005 - C42 microlight and a PA28R at low level overhead Manchester Barton R/W 20.	"Conflict within the ATZ (Class G airspace) attributed to a late go-around by the PA28R, which subsequently flew into conflict with the microlight. However, as PA28R pilot was visual with the microlight throughout, safety was assured. This AIRPROX has been subject to a separate review by UKAB - see Airprox Report 93/05. CAA Closure: The hazard is adequately controlled by existing requirements, procedures and documentation."
Barton	2005197	2005-10-23	1430	5325N	00208W	02000	C	CATP	BOEING B737	D - CONTROL ZONES AND AREAS (NON RULE 21)	AERODROME (CIVIL)	CIVP	HUGHES (MDH) 500	D - CONTROL ZONES AND AREAS (NON RULE 21)	APPROACH RADAR (CIVIL)	400	0927	0300	1853	0500	5560	UK AIRPROX 197/2005 - B737 and a Hughes 500 at Manchester Airport at 1800ft.	"B737 on ILS approach to R/W24R at 2000ft received/complied with a TCAS RA of monitor vertical speed. B737 had no visual contact and subsequently continued the approach. The Hughes 500 pilot entered the Manchester CTR without clearance and then did not comply with ATC instructions and flew into conflict with the B737. CAA Closure: The pilot has been fully alerted to the findings of the UKAB review of this AIRPROX. No further CAA action at this time."
Barton	2005205	2005-11-17	1325	5329N	00222W	01000	C	POLH	MD-90	AERODROME TRAFFIC ZONES - (ATZ)	AIR TO GROUND SERVICE (CIVIL)	CIVH	ROBINSON R22	AERODROME TRAFFIC ZONES - (ATZ)	AERODROME (CIVIL)	XXXX	XXXX	0200	0100	0300	0100	"UK AIRPROX 205/2005 - MD902 and an R22, 2nm Northeast of Barton at 1000ft."	"Investigation established that the R22 pilot flew close enough to the MD902 to cause the pilot concern. However, it was also ascertained that the R22 pilot did not break any rules or procedures. CAA Closure: No further CAA action required at this time. This AIRPROX has been subject to a separate review by the United Kingdom AIRPROX Board (UKAB). See UKAB Report 205/05."
Barton	2006152	2006-10-07	1608	5328N	00223W	00050	C	CIVP	COLIBRI MB2	AERODROME TRAFFIC ZONES - (ATZ)	AFIS (CIVIL)	CIVP	RUTAN VARIEZE	AERODROME TRAFFIC ZONES - (ATZ)	AFIS (CIVIL)	XXXX	XXXX	XXXX	XXXX	XXXX	XXXX	UK AIRPROX 152/2006 - Colbri MB2 and a Rutan Varieze below 100ft at Manchester Barton.	Nil
